"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Algeria","1996","Female","Not applicable","Percent","68.1694"
"Algeria","1995","Male","Not applicable","Percent","82.24358"
"Algeria","1995","All genders","Not applicable","Percent","74.96651"
"Algeria","1995","Female","Not applicable","Percent","67.39602"
"Algeria","1994","Male","Not applicable","Percent","82.99542"
"Algeria","1994","All genders","Not applicable","Percent","75.15412"
"Algeria","1994","Female","Not applicable","Percent","66.99279"
"Angola","2011","Male","Not applicable","Percent","42.19124"
"Angola","2011","All genders","Not applicable","Percent","35.81123"
"Angola","2011","Female","Not applicable","Percent","29.43336"
"Angola","2010","All genders","Not applicable","Percent","36.21727"
"Angola","2010","Female","Not applicable","Percent","31.21653"
"Angola","2010","Male","Not applicable","Percent","41.22809"
"Angola","2009","All genders","Not applicable","Percent","30.0858"
"Angola","2009","Male","Not applicable","Percent","32.79284"
"Angola","2009","Female","Not applicable","Percent","27.39148"
"Angola","2008","All genders","Not applicable","Percent","28.14614"
"Angola","2008","Female","Not applicable","Percent","25.79382"
"Angola","2008","Male","Not applicable","Percent","30.51608"
"Angola","2002","All genders","Not applicable","Percent","21.10491"
"Angola","2002","Male","Not applicable","Percent","22.72169"
"Angola","2002","Female","Not applicable","Percent","19.5133"
"Angola","2001","All genders","Not applicable","Percent","19.98229"
"Angola","2001","Female","Not applicable","Percent","17.90053"
"Angola","2001","Male","Not applicable","Percent","22.0987"
"Angola","2000","All genders","Not applicable","Percent","17.37737"
"Angola","2000","Male","Not applicable","Percent","18.47123"
"Angola","2000","Female","Not applicable","Percent","16.3014"
"Angola","1999","All genders","Not applicable","Percent","15.28344"
"Angola","1999","Female","Not applicable","Percent","14.45699"
"Angola","1999","Male","Not applicable","Percent","16.12363"
"Angola","1998","All genders","Not applicable","Percent","16.35123"
"Angola","1998","Male","Not applicable","Percent","17.74123"
"Angola","1998","Female","Not applicable","Percent","14.98314"
"Antigua and Barbuda","2014","Female","Not applicable","Percent","113.107"
"Antigua and Barbuda","2014","Male","Not applicable","Percent","118.80772"
"Antigua and Barbuda","2014","All genders","Not applicable","Percent","115.99066"
"Antigua and Barbuda","2012","Male","Not applicable","Percent","119.24669"
"Antigua and Barbuda","2012","Female","Not applicable","Percent","108.36873"
"Antigua and Barbuda","2012","All genders","Not applicable","Percent","113.87841"
"Antigua and Barbuda","2011","Male","Not applicable","Percent","125.95674"
"Antigua and Barbuda","2011","Female","Not applicable","Percent","115.56584"
"Antigua and Barbuda","2011","All genders","Not applicable","Percent","120.79063"
"Antigua and Barbuda","2010","Male","Not applicable","Percent","131.10269"
"Antigua and Barbuda","2010","Female","Not applicable","Percent","115.75884"
"Antigua and Barbuda","2010","All genders","Not applicable","Percent","123.38423"
"Antigua and Barbuda","2009","Male","Not applicable","Percent","135.16859"
"Antigua and Barbuda","2009","Female","Not applicable","Percent","114.63816"
"Antigua and Barbuda","2009","All genders","Not applicable","Percent","124.71204"
"Antigua and Barbuda","2008","Female","Not applicable","Percent","115.02654"
"Antigua and Barbuda","2008","All genders","Not applicable","Percent","127.36643"
"Antigua and Barbuda","2008","Male","Not applicable","Percent","140.47722"
"Antigua and Barbuda","2000","Female","Not applicable","Percent","71.24502"
"Antigua and Barbuda","2000","All genders","Not applicable","Percent","77.09261"
"Antigua and Barbuda","2000","Male","Not applicable","Percent","83.66534"
"Argentina","2013","Female","Not applicable","Percent","129.46914"
"Argentina","2013","All genders","Not applicable","Percent","128.423"
"Argentina","2013","Male","Not applicable","Percent","127.41127"
"Argentina","2012","Female","Not applicable","Percent","130.30836"
"Argentina","2012","All genders","Not applicable","Percent","128.66475"
"Argentina","2012","Male","Not applicable","Percent","127.0751"
"Argentina","2011","Female","Not applicable","Percent","130.88278"
"Argentina","2011","All genders","Not applicable","Percent","127.84852"
"Argentina","2011","Male","Not applicable","Percent","124.91391"
"Argentina","2010","Female","Not applicable","Percent","133.73199"
"Argentina","2010","All genders","Not applicable","Percent","131.03973"
"Argentina","2010","Male","Not applicable","Percent","128.43647"
"Argentina","2009","Female","Not applicable","Percent","130.21516"
"Argentina","2009","Male","Not applicable","Percent","122.80963"
"Argentina","2009","All genders","Not applicable","Percent","126.45052"
"Argentina","2008","Female","Not applicable","Percent","124.16595"
"Argentina","2008","All genders","Not applicable","Percent","120.18133"
"Argentina","2008","Male","Not applicable","Percent","116.3275"
"Argentina","2007","Male","Not applicable","Percent","113.50508"
"Argentina","2007","Female","Not applicable","Percent","120.66734"
"Argentina","2007","All genders","Not applicable","Percent","117.02646"
"Argentina","2006","All genders","Not applicable","Percent","115.81822"
"Argentina","2006","Female","Not applicable","Percent","119.37347"
"Argentina","2006","Male","Not applicable","Percent","112.37922"
"Argentina","2005","Male","Not applicable","Percent","113.42804"
"Argentina","2005","Female","Not applicable","Percent","119.89578"
"Argentina","2005","All genders","Not applicable","Percent","116.60886"
"Argentina","2004","All genders","Not applicable","Percent","117.64616"
"Argentina","2004","Female","Not applicable","Percent","120.62896"
"Argentina","2004","Male","Not applicable","Percent","114.75569"
"Argentina","2003","Male","Not applicable","Percent","113.9578"
"Argentina","2003","Female","Not applicable","Percent","118.19222"
"Argentina","2003","All genders","Not applicable","Percent","116.04319"
"Argentina","2002","Male","Not applicable","Percent","115.75884"
"Argentina","2002","All genders","Not applicable","Percent","117.42915"
"Argentina","2002","Female","Not applicable","Percent","119.14853"
"Argentina","2001","Male","Not applicable","Percent","117.26481"
"Argentina","2001","Female","Not applicable","Percent","121.39997"
"Argentina","2001","All genders","Not applicable","Percent","119.30307"
"Argentina","2000","Male","Not applicable","Percent","117.61764"
"Argentina","2000","All genders","Not applicable","Percent","119.44437"
"Argentina","2000","Female","Not applicable","Percent","121.32377"
"Argentina","1999","Male","Not applicable","Percent","114.70247"
"Argentina","1999","Female","Not applicable","Percent","119.66379"
"Argentina","1999","All genders","Not applicable","Percent","117.1474"
"Argentina","1998","Male","Not applicable","Percent","99.96758"
"Argentina","1998","All genders","Not applicable","Percent","101.00972"
"Argentina","1998","Female","Not applicable","Percent","102.08285"
"Armenia","2009","Female","Not applicable","Percent","105.24925"
"Armenia","2009","All genders","Not applicable","Percent","97.4689"
"Armenia","2009","Male","Not applicable","Percent","91.3087"
"Armenia","2008","Female","Not applicable","Percent","102.4631"
"Armenia","2008","All genders","Not applicable","Percent","95.59419"
"Armenia","2008","Male","Not applicable","Percent","90.01225"
"Armenia","2007","Female","Not applicable","Percent","101.06843"
"Armenia","2007","All genders","Not applicable","Percent","94.88797"
"Armenia","2007","Male","Not applicable","Percent","89.69146"
"Armenia","2006","Female","Not applicable","Percent","100.73665"
"Armenia","2006","All genders","Not applicable","Percent","96.19677"
"Armenia","2006","Male","Not applicable","Percent","92.24504"
"Armenia","2005","Female","Not applicable","Percent","98.79603"
"Armenia","2005","All genders","Not applicable","Percent","95.88168"
"Armenia","2005","Male","Not applicable","Percent","93.26153"
"Armenia","2004","Female","Not applicable","Percent","93.50003"
"Armenia","2004","All genders","Not applicable","Percent","92.16407"
"Armenia","2004","Male","Not applicable","Percent","90.92696"
"Armenia","2003","Female","Not applicable","Percent","92.64385"
"Armenia","2003","All genders","Not applicable","Percent","91.63189"
"Armenia","2003","Male","Not applicable","Percent","90.67173"
"Armenia","2002","Female","Not applicable","Percent","91.56889"
"Armenia","2002","All genders","Not applicable","Percent","90.93302"
"Armenia","2002","Male","Not applicable","Percent","90.31852"
"Armenia","2001","Female","Not applicable","Percent","93.83566"
"Armenia","2001","Male","Not applicable","Percent","85.49423"
"Armenia","2001","All genders","Not applicable","Percent","89.62103"
"Armenia","2000","Female","Not applicable","Percent","96.83377"
"Armenia","2000","All genders","Not applicable","Percent","93.63449"
"Armenia","2000","Male","Not applicable","Percent","90.46043"
"Armenia","1999","All genders","Not applicable","Percent","96.52213"
"Armenia","1998","All genders","Not applicable","Percent","97.81553"
"Aruba","2012","Female","Not applicable","Percent","119.7698"
"Aruba","2012","All genders","Not applicable","Percent","118.57814"
"Aruba","2012","Male","Not applicable","Percent","117.40864"
"Aruba","2011","All genders","Not applicable","Percent","113.18499"
"Aruba","2011","Male","Not applicable","Percent","115.81365"
"Aruba","2011","Female","Not applicable","Percent","110.49092"
"Aruba","2010","Male","Not applicable","Percent","116.61259"
"Aruba","2010","Female","Not applicable","Percent","108.94526"
"Aruba","2010","All genders","Not applicable","Percent","112.83317"
"Aruba","2009","Male","Not applicable","Percent","113.69162"
"Aruba","2009","All genders","Not applicable","Percent","112.28923"
"Aruba","2009","Female","Not applicable","Percent","110.84813"
"Aruba","2008","Female","Not applicable","Percent","105.39846"
"Aruba","2008","Male","Not applicable","Percent","99.24147"
"Aruba","2008","All genders","Not applicable","Percent","102.29446"
"Aruba","2007","All genders","Not applicable","Percent","107.91299"
"Aruba","2007","Male","Not applicable","Percent","111.85372"
"Aruba","2007","Female","Not applicable","Percent","103.97226"
"Aruba","2006","Female","Not applicable","Percent","103.9449"
"Aruba","2006","Male","Not applicable","Percent","121.15016"
"Aruba","2006","All genders","Not applicable","Percent","112.46047"
"Aruba","2005","All genders","Not applicable","Percent","111.62338"
"Aruba","2005","Male","Not applicable","Percent","118.34862"
"Aruba","2005","Female","Not applicable","Percent","105.01931"
"Aruba","2004","Female","Not applicable","Percent","109.20614"
"Aruba","2004","Male","Not applicable","Percent","115.36899"
"Aruba","2004","All genders","Not applicable","Percent","112.26478"
"Aruba","2003","All genders","Not applicable","Percent","112.22067"
"Aruba","2003","Male","Not applicable","Percent","112.43851"
"Aruba","2003","Female","Not applicable","Percent","112.00555"
"Aruba","2002","Female","Not applicable","Percent","117.20897"
"Aruba","2002","Male","Not applicable","Percent","117.24891"
"Aruba","2002","All genders","Not applicable","Percent","117.22887"
"Aruba","2001","All genders","Not applicable","Percent","116.34867"
"Aruba","2001","Male","Not applicable","Percent","115.84454"
"Aruba","2001","Female","Not applicable","Percent","116.85393"
"Aruba","2000","Female","Not applicable","Percent","117.2973"
"Aruba","2000","Male","Not applicable","Percent","117.37805"
"Aruba","2000","All genders","Not applicable","Percent","117.33794"
"Aruba","1999","All genders","Not applicable","Percent","113.72011"
"Aruba","1999","Male","Not applicable","Percent","111.37771"
"Aruba","1999","Female","Not applicable","Percent","116.12391"
"Australia","2013","Female","Not applicable","Percent","113.00218"
"Australia","2013","Male","Not applicable","Percent","116.59025"
"Australia","2013","All genders","Not applicable","Percent","114.85434"
"Australia","2012","Female","Not applicable","Percent","111.92975"
"Australia","2012","All genders","Not applicable","Percent","113.18907"
"Australia","2012","Male","Not applicable","Percent","114.36565"
"Australia","2011","All genders","Not applicable","Percent","112.99417"
"Australia","2011","Male","Not applicable","Percent","114.17946"
"Australia","2011","Female","Not applicable","Percent","111.72264"
"Australia","2010","All genders","Not applicable","Percent","113.77428"
"Australia","2010","Female","Not applicable","Percent","112.8582"
"Australia","2010","Male","Not applicable","Percent","114.62641"
"Australia","2009","All genders","Not applicable","Percent","113.59232"
"Australia","2009","Male","Not applicable","Percent","113.1384"
"Australia","2009","Female","Not applicable","Percent","114.08187"
"Australia","2008","All genders","Not applicable","Percent","111.98768"
"Australia","2008","Female","Not applicable","Percent","113.91814"
"Australia","2008","Male","Not applicable","Percent","110.20242"
"Australia","2007","All genders","Not applicable","Percent","111.47938"
"Australia","2007","Male","Not applicable","Percent","109.79646"
"Australia","2007","Female","Not applicable","Percent","113.30204"
"Australia","2006","All genders","Not applicable","Percent","112.13664"
"Australia","2006","Female","Not applicable","Percent","113.30964"
"Australia","2006","Male","Not applicable","Percent","111.05338"
"Australia","2005","All genders","Not applicable","Percent","112.90879"
"Australia","2005","Male","Not applicable","Percent","111.36723"
"Australia","2005","Female","Not applicable","Percent","114.57389"
"Australia","2004","All genders","Not applicable","Percent","113.20681"
"Australia","2004","Female","Not applicable","Percent","114.364"
"Australia","2004","Male","Not applicable","Percent","112.13029"
"Australia","2003","All genders","Not applicable","Percent","116.09163"
"Australia","2003","Male","Not applicable","Percent","115.00051"
"Australia","2003","Female","Not applicable","Percent","117.25934"
"Australia","2002","Female","Not applicable","Percent","119.81545"
"Australia","2002","Male","Not applicable","Percent","118.28265"
"Australia","2002","All genders","Not applicable","Percent","119.02434"
"Australia","2001","Male","Not applicable","Percent","119.01728"
"Australia","2001","Female","Not applicable","Percent","120.78576"
"Australia","2001","All genders","Not applicable","Percent","119.87408"
"Australia","2000","Male","Not applicable","Percent","117.84924"
"Australia","2000","Female","Not applicable","Percent","120.80151"
"Australia","2000","All genders","Not applicable","Percent","119.28106"
"Australia","1999","Male","Not applicable","Percent","116.84998"
"Australia","1999","Female","Not applicable","Percent","120.24478"
"Australia","1999","All genders","Not applicable","Percent","118.49963"
"Australia","1998","Male","Not applicable","Percent","109.68262"
"Australia","1998","Female","Not applicable","Percent","115.95619"
"Australia","1998","All genders","Not applicable","Percent","112.73637"
"Australia","1997","Male","Not applicable","Percent","107.83854"
"Australia","1997","Female","Not applicable","Percent","117.70689"
"Australia","1997","All genders","Not applicable","Percent","112.64854"
"Australia","1996","Male","Not applicable","Percent","109.4539"
"Australia","1996","Female","Not applicable","Percent","114.397"
"Australia","1996","All genders","Not applicable","Percent","111.86423"
"Australia","1995","Female","Not applicable","Percent","110.50452"
"Australia","1995","All genders","Not applicable","Percent","109.25595"
"Australia","1995","Male","Not applicable","Percent","108.07025"
"Australia","1994","All genders","Not applicable","Percent","103.13383"
"Australia","1994","Male","Not applicable","Percent","101.4382"
"Australia","1994","Female","Not applicable","Percent","104.92059"
"Australia","1993","All genders","Not applicable","Percent","107.90853"
"Australia","1993","Female","Not applicable","Percent","110.79402"
"Australia","1993","Male","Not applicable","Percent","105.17225"
"Austria","2014","All genders","Not applicable","Percent","99.47815"
"Austria","2014","Male","Not applicable","Percent","100.34634"
"Austria","2014","Female","Not applicable","Percent","98.57476"
"Austria","2013","All genders","Not applicable","Percent","99.21608"
"Austria","2013","Female","Not applicable","Percent","98.75498"
"Austria","2013","Male","Not applicable","Percent","99.65781"
"Austria","2012","All genders","Not applicable","Percent","100.06628"
"Austria","2012","Male","Not applicable","Percent","100.56669"
"Austria","2012","Female","Not applicable","Percent","99.54201"
"Austria","2011","All genders","Not applicable","Percent","101.83995"
"Austria","2011","Female","Not applicable","Percent","101.64171"
"Austria","2011","Male","Not applicable","Percent","102.02841"
"Austria","2010","All genders","Not applicable","Percent","101.95175"
"Austria","2010","Male","Not applicable","Percent","102.10224"
"Austria","2010","Female","Not applicable","Percent","101.79361"
"Austria","2009","All genders","Not applicable","Percent","102.38786"
"Austria","2009","Female","Not applicable","Percent","102.03925"
"Austria","2009","Male","Not applicable","Percent","102.71967"
"Austria","2008","All genders","Not applicable","Percent","102.08136"
"Austria","2008","Male","Not applicable","Percent","102.40185"
"Austria","2008","Female","Not applicable","Percent","101.74447"
"Austria","2007","All genders","Not applicable","Percent","101.34571"
"Austria","2007","Female","Not applicable","Percent","100.93589"
"Austria","2007","Male","Not applicable","Percent","101.73522"
"Austria","2006","All genders","Not applicable","Percent","101.36198"
"Austria","2006","Male","Not applicable","Percent","101.93524"
"Austria","2006","Female","Not applicable","Percent","100.75804"
"Austria","2005","All genders","Not applicable","Percent","102.03581"
"Austria","2005","Female","Not applicable","Percent","101.44093"
"Austria","2005","Male","Not applicable","Percent","102.60074"
"Austria","2004","All genders","Not applicable","Percent","102.52223"
"Austria","2004","Male","Not applicable","Percent","103.20338"
"Austria","2004","Female","Not applicable","Percent","101.80533"
"Austria","2003","All genders","Not applicable","Percent","102.45704"
"Austria","2003","Female","Not applicable","Percent","102.00306"
"Austria","2003","Male","Not applicable","Percent","102.88852"
"Austria","2002","Female","Not applicable","Percent","102.55997"
"Austria","2002","All genders","Not applicable","Percent","102.86946"
"Austria","2002","Male","Not applicable","Percent","103.16366"
"Austria","2001","Female","Not applicable","Percent","102.53492"
"Austria","2001","All genders","Not applicable","Percent","102.92774"
"Austria","2001","Male","Not applicable","Percent","103.30115"
"Austria","2000","Female","Not applicable","Percent","102.21723"
"Austria","2000","Male","Not applicable","Percent","102.53712"
"Austria","2000","All genders","Not applicable","Percent","102.38125"
"Austria","1999","Female","Not applicable","Percent","100.75841"
"Austria","1999","All genders","Not applicable","Percent","101.00551"
"Austria","1999","Male","Not applicable","Percent","101.24029"
"Austria","1998","Female","Not applicable","Percent","99.76661"
"Austria","1998","Male","Not applicable","Percent","100.07051"
"Austria","1998","All genders","Not applicable","Percent","99.92242"
"Austria","1997","Female","Not applicable","Percent","99.33801"
"Austria","1997","All genders","Not applicable","Percent","99.29176"
"Austria","1997","Male","Not applicable","Percent","99.24778"
"Austria","1996","Female","Not applicable","Percent","100.04008"
"Austria","1996","Male","Not applicable","Percent","100.02592"
"Austria","1996","All genders","Not applicable","Percent","100.03282"
"Austria","1995","Female","Not applicable","Percent","102.30419"
"Austria","1995","All genders","Not applicable","Percent","102.23989"
"Austria","1995","Male","Not applicable","Percent","102.17869"
"Azerbaijan","2014","Male","Not applicable","Percent","90.0828"
"Azerbaijan","2014","Female","Not applicable","Percent","87.88906"
"Azerbaijan","2014","All genders","Not applicable","Percent","89.05687"
"Azerbaijan","2013","All genders","Not applicable","Percent","90.18001"
"Azerbaijan","2013","Female","Not applicable","Percent","88.84453"
"Azerbaijan","2013","Male","Not applicable","Percent","91.36121"
"Azerbaijan","2012","Male","Not applicable","Percent","92.30968"
"Azerbaijan","2012","Female","Not applicable","Percent","90.64434"
"Azerbaijan","2012","All genders","Not applicable","Percent","91.52639"
"Azerbaijan","2011","All genders","Not applicable","Percent","91.98054"
"Azerbaijan","2011","Female","Not applicable","Percent","90.41455"
"Azerbaijan","2011","Male","Not applicable","Percent","93.38556"
"Azerbaijan","2010","Male","Not applicable","Percent","92.9226"
"Azerbaijan","2010","Female","Not applicable","Percent","90.53714"
"Azerbaijan","2010","All genders","Not applicable","Percent","91.78975"
"Azerbaijan","2009","All genders","Not applicable","Percent","92.77534"
"Azerbaijan","2009","Female","Not applicable","Percent","91.34747"
"Azerbaijan","2009","Male","Not applicable","Percent","94.07795"
"Azerbaijan","2008","Male","Not applicable","Percent","93.69662"
"Azerbaijan","2008","Female","Not applicable","Percent","91.7072"
"Azerbaijan","2008","All genders","Not applicable","Percent","92.74344"
"Azerbaijan","2007","All genders","Not applicable","Percent","91.63178"
"Azerbaijan","2007","Female","Not applicable","Percent","90.45451"
"Azerbaijan","2007","Male","Not applicable","Percent","92.72983"
"Azerbaijan","2006","Male","Not applicable","Percent","93.26318"
"Azerbaijan","2006","Female","Not applicable","Percent","91.16274"
"Azerbaijan","2006","All genders","Not applicable","Percent","92.25103"
"Azerbaijan","2005","Male","Not applicable","Percent","92.68823"
"Azerbaijan","2005","All genders","Not applicable","Percent","90.94542"
"Azerbaijan","2005","Female","Not applicable","Percent","89.12335"
"Azerbaijan","2004","All genders","Not applicable","Percent","89.76242"
"Azerbaijan","2004","Female","Not applicable","Percent","88.11459"
"Azerbaijan","2004","Male","Not applicable","Percent","91.34675"
"Azerbaijan","2003","All genders","Not applicable","Percent","89.4193"
"Azerbaijan","2003","Male","Not applicable","Percent","91.6079"
"Azerbaijan","2003","Female","Not applicable","Percent","87.17094"
"Azerbaijan","2002","All genders","Not applicable","Percent","89.21174"
"Azerbaijan","2002","Female","Not applicable","Percent","86.14452"
"Azerbaijan","2002","Male","Not applicable","Percent","92.28703"
"Azerbaijan","2001","All genders","Not applicable","Percent","86.43237"
"Azerbaijan","2001","Male","Not applicable","Percent","89.30138"
"Azerbaijan","2001","Female","Not applicable","Percent","83.56853"
"Azerbaijan","2000","All genders","Not applicable","Percent","77.88433"
"Azerbaijan","2000","Female","Not applicable","Percent","76.28833"
"Azerbaijan","2000","Male","Not applicable","Percent","79.48407"
"Azerbaijan","1999","All genders","Not applicable","Percent","81.19675"
"Azerbaijan","1999","Male","Not applicable","Percent","81.29224"
"Azerbaijan","1999","Female","Not applicable","Percent","81.0975"
"Azerbaijan","1998","All genders","Not applicable","Percent","78.95398"
"Azerbaijan","1998","Female","Not applicable","Percent","79.07176"
"Azerbaijan","1998","Male","Not applicable","Percent","78.84084"
"Azerbaijan","1997","All genders","Not applicable","Percent","77.40835"
