"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Armenia","2011","Male","Not applicable","Percent","94.20866"
"Armenia","2011","All genders","Not applicable","Percent","94.23898"
"Armenia","2011","Female","Not applicable","Percent","94.26676"
"Armenia","2010","Male","Not applicable","Percent","95.98674"
"Armenia","2010","All genders","Not applicable","Percent","95.98377"
"Armenia","2010","Female","Not applicable","Percent","95.98838"
"Armenia","2009","Male","Not applicable","Percent","96.3008"
"Armenia","2009","All genders","Not applicable","Percent","96.98474"
"Armenia","2009","Female","Not applicable","Percent","97.76266"
"Armenia","2006","Male","Not applicable","Percent","98.01461"
"Armenia","2006","All genders","Not applicable","Percent","97.7055"
"Armenia","2006","Female","Not applicable","Percent","97.35621"
"Armenia","2005","Male","Not applicable","Percent","98.88529"
"Armenia","2005","All genders","Not applicable","Percent","98.50769"
"Armenia","2005","Female","Not applicable","Percent","98.10342"
"Armenia","2004","Male","Not applicable","Percent","98.62858"
"Armenia","2004","All genders","Not applicable","Percent","98.68116"
"Armenia","2004","Female","Not applicable","Percent","98.73712"
"Armenia","2003","Male","Not applicable","Percent","96.18275"
"Armenia","2003","All genders","Not applicable","Percent","96.29422"
"Armenia","2003","Female","Not applicable","Percent","96.41295"
"Armenia","2002","Male","Not applicable","Percent","95.93481"
"Armenia","2002","All genders","Not applicable","Percent","95.76124"
"Armenia","2002","Female","Not applicable","Percent","95.57045"
"Armenia","1997","All genders","Not applicable","Percent","96.50339"
"Aruba","2013","Male","Not applicable","Percent","92.39189"
"Aruba","2013","Female","Not applicable","Percent","99.60611"
"Aruba","2013","All genders","Not applicable","Percent","95.9406"
"Aruba","2009","All genders","Not applicable","Percent","93.11888"
"Aruba","2008","Female","Not applicable","Percent","97.23148"
"Aruba","2008","All genders","Not applicable","Percent","91.41332"
"Aruba","2008","Male","Not applicable","Percent","85.77637"
"Aruba","2007","Female","Not applicable","Percent","87.98737"
"Aruba","2007","Male","Not applicable","Percent","84.97523"
"Aruba","2007","All genders","Not applicable","Percent","86.48703"
"Aruba","2006","Female","Not applicable","Percent","94.69581"
"Aruba","2006","All genders","Not applicable","Percent","93.38586"
"Aruba","2006","Male","Not applicable","Percent","92.13415"
"Aruba","2005","All genders","Not applicable","Percent","94.40294"
"Aruba","2004","Female","Not applicable","Percent","95.51022"
"Aruba","2004","All genders","Not applicable","Percent","93.65968"
"Aruba","2004","Male","Not applicable","Percent","91.86608"
"Aruba","2003","Female","Not applicable","Percent","95.0455"
"Aruba","2003","Male","Not applicable","Percent","93.46216"
"Aruba","2003","All genders","Not applicable","Percent","94.2741"
"Aruba","2002","Female","Not applicable","Percent","95.77121"
"Aruba","2002","All genders","Not applicable","Percent","93.86327"
"Aruba","2002","Male","Not applicable","Percent","92.03945"
"Aruba","2001","Female","Not applicable","Percent","98.79518"
"Aruba","2001","Male","Not applicable","Percent","89.53283"
"Aruba","2001","All genders","Not applicable","Percent","94.04868"
"Aruba","2000","All genders","Not applicable","Percent","95.86862"
"Aruba","1999","Female","Not applicable","Percent","93.87686"
"Aruba","1999","All genders","Not applicable","Percent","95.60664"
"Aruba","1999","Male","Not applicable","Percent","97.32151"
"Austria","2013","All genders","Not applicable","Percent","99.49617"
"Austria","2013","Male","Not applicable","Percent","99.18849"
"Austria","2013","Female","Not applicable","Percent","99.8202"
"Austria","2012","Male","Not applicable","Percent","99.24207"
"Austria","2012","Female","Not applicable","Percent","100"
"Austria","2012","All genders","Not applicable","Percent","99.6108"
"Austria","2011","Male","Not applicable","Percent","99.49004"
"Austria","2011","Female","Not applicable","Percent","100"
"Austria","2011","All genders","Not applicable","Percent","99.73828"
"Austria","2010","Male","Not applicable","Percent","98.85854"
"Austria","2010","Female","Not applicable","Percent","100"
"Austria","2010","All genders","Not applicable","Percent","99.41166"
"Austria","2009","Male","Not applicable","Percent","95.83554"
"Austria","2009","Female","Not applicable","Percent","98.23247"
"Austria","2009","All genders","Not applicable","Percent","96.99248"
"Austria","2008","Male","Not applicable","Percent","96.45543"
"Austria","2008","Female","Not applicable","Percent","99.08291"
"Austria","2008","All genders","Not applicable","Percent","97.71399"
"Austria","2007","Male","Not applicable","Percent","96.23228"
"Austria","2007","Female","Not applicable","Percent","98.60631"
"Austria","2007","All genders","Not applicable","Percent","97.3689"
"Austria","2006","Male","Not applicable","Percent","96.40914"
"Austria","2006","Female","Not applicable","Percent","98.95901"
"Austria","2006","All genders","Not applicable","Percent","97.63472"
"Austria","2005","Male","Not applicable","Percent","97.8906"
"Austria","2005","Female","Not applicable","Percent","97.95363"
"Austria","2005","All genders","Not applicable","Percent","97.91426"
"Austria","2004","Male","Not applicable","Percent","97.0798"
"Austria","2004","Female","Not applicable","Percent","97.38953"
"Austria","2004","All genders","Not applicable","Percent","97.2244"
"Austria","2003","Male","Not applicable","Percent","96.34294"
"Austria","2003","Female","Not applicable","Percent","99.259"
"Austria","2003","All genders","Not applicable","Percent","97.76293"
"Austria","2002","Male","Not applicable","Percent","96.49888"
"Austria","2002","Female","Not applicable","Percent","97.86222"
"Austria","2002","All genders","Not applicable","Percent","97.15789"
"Austria","1998","Male","Not applicable","Percent","96.24543"
"Austria","1998","Female","Not applicable","Percent","97.96029"
"Austria","1998","All genders","Not applicable","Percent","97.07544"
"Azerbaijan","2013","All genders","Not applicable","Percent","97.26262"
"Azerbaijan","2013","Male","Not applicable","Percent","95.05282"
"Azerbaijan","2013","Female","Not applicable","Percent","99.9072"
"Azerbaijan","2012","Female","Not applicable","Percent","97.58972"
"Azerbaijan","2012","Male","Not applicable","Percent","99.86376"
"Azerbaijan","2012","All genders","Not applicable","Percent","98.81232"
"Azerbaijan","2011","All genders","Not applicable","Percent","98.18643"
"Azerbaijan","2011","Male","Not applicable","Percent","97.60419"
"Azerbaijan","2011","Female","Not applicable","Percent","98.86417"
"Azerbaijan","2010","Female","Not applicable","Percent","95.6248"
"Azerbaijan","2010","Male","Not applicable","Percent","98.5989"
"Azerbaijan","2010","All genders","Not applicable","Percent","97.20736"
"Azerbaijan","2009","All genders","Not applicable","Percent","96.36094"
"Azerbaijan","2009","Male","Not applicable","Percent","95.37967"
"Azerbaijan","2009","Female","Not applicable","Percent","97.50286"
"Azerbaijan","2008","Female","Not applicable","Percent","96.66061"
"Azerbaijan","2008","Male","Not applicable","Percent","99.99362"
"Azerbaijan","2008","All genders","Not applicable","Percent","98.42165"
"Azerbaijan","2007","All genders","Not applicable","Percent","99.26501"
"Azerbaijan","2007","Male","Not applicable","Percent","100"
"Azerbaijan","2007","Female","Not applicable","Percent","98.44491"
"Azerbaijan","2006","Female","Not applicable","Percent","99.91892"
"Azerbaijan","2006","Male","Not applicable","Percent","97.5797"
"Azerbaijan","2006","All genders","Not applicable","Percent","98.67626"
"Azerbaijan","2005","All genders","Not applicable","Percent","96.90844"
"Azerbaijan","2005","Male","Not applicable","Percent","100"
"Azerbaijan","2005","Female","Not applicable","Percent","93.59226"
"Azerbaijan","2004","Female","Not applicable","Percent","98.11505"
"Azerbaijan","2004","Male","Not applicable","Percent","97.63391"
"Azerbaijan","2004","All genders","Not applicable","Percent","97.85852"
"Azerbaijan","2003","All genders","Not applicable","Percent","97.713"
"Azerbaijan","2003","Male","Not applicable","Percent","95.78058"
"Azerbaijan","2003","Female","Not applicable","Percent","99.86372"
"Azerbaijan","2002","Female","Not applicable","Percent","95.20816"
"Azerbaijan","2002","All genders","Not applicable","Percent","96.52302"
"Azerbaijan","2002","Male","Not applicable","Percent","97.76759"
"Azerbaijan","2001","Male","Not applicable","Percent","95.30999"
"Azerbaijan","2001","All genders","Not applicable","Percent","96.73787"
"Azerbaijan","2001","Female","Not applicable","Percent","98.30456"
"Azerbaijan","2000","Female","Not applicable","Percent","92.8094"
"Azerbaijan","2000","All genders","Not applicable","Percent","95.98233"
"Azerbaijan","2000","Male","Not applicable","Percent","99.09563"
"Azerbaijan","1999","Male","Not applicable","Percent","95.94242"
"Azerbaijan","1999","All genders","Not applicable","Percent","96.83445"
"Azerbaijan","1999","Female","Not applicable","Percent","97.79932"
"Azerbaijan","1998","Female","Not applicable","Percent","97.8769"
"Azerbaijan","1998","All genders","Not applicable","Percent","97.38915"
"Azerbaijan","1998","Male","Not applicable","Percent","96.91591"
"Azerbaijan","1995","Male","Not applicable","Percent","83.20114"
"Azerbaijan","1995","All genders","Not applicable","Percent","83.25246"
"Azerbaijan","1995","Female","Not applicable","Percent","83.30193"
"Azerbaijan","1994","Female","Not applicable","Percent","81.32269"
"Azerbaijan","1994","All genders","Not applicable","Percent","81.49005"
"Azerbaijan","1994","Male","Not applicable","Percent","81.64338"
"Azerbaijan","1993","Male","Not applicable","Percent","98.59328"
"Azerbaijan","1993","All genders","Not applicable","Percent","97.75516"
"Azerbaijan","1993","Female","Not applicable","Percent","96.87319"
"Bahamas","2009","Female","Not applicable","Percent","87.71504"
"Bahamas","2009","All genders","Not applicable","Percent","89.4999"
"Bahamas","2009","Male","Not applicable","Percent","91.3801"
"Bahamas","2008","All genders","Not applicable","Percent","82.4423"
"Bahamas","2008","Male","Not applicable","Percent","77.80396"
"Bahamas","2008","Female","Not applicable","Percent","87.4181"
"Bahamas","2007","All genders","Not applicable","Percent","90.70507"
"Bahamas","2007","Female","Not applicable","Percent","91.96815"
"Bahamas","2007","Male","Not applicable","Percent","89.53586"
"Bahamas","2005","All genders","Not applicable","Percent","81.41509"
"Bahamas","2005","Male","Not applicable","Percent","78.75174"
"Bahamas","2005","Female","Not applicable","Percent","84.30102"
"Bahamas","1994","All genders","Not applicable","Percent","79.87147"
"Bahrain","2011","Female","Not applicable","Percent","96.5091"
"Bahrain","2011","All genders","Not applicable","Percent","97.80743"
"Bahrain","2011","Male","Not applicable","Percent","99.09671"
"Bahrain","2010","All genders","Not applicable","Percent","97.79036"
"Bahrain","2010","Male","Not applicable","Percent","97.40162"
"Bahrain","2010","Female","Not applicable","Percent","98.18224"
"Bahrain","2009","All genders","Not applicable","Percent","98.75068"
"Bahrain","2009","Female","Not applicable","Percent","97.45812"
"Bahrain","2009","Male","Not applicable","Percent","100"
"Bahrain","2004","All genders","Not applicable","Percent","98.21326"
"Bahrain","2004","Male","Not applicable","Percent","99.49578"
"Bahrain","2004","Female","Not applicable","Percent","96.91096"
"Bahrain","2003","All genders","Not applicable","Percent","98.67038"
"Bahrain","2003","Female","Not applicable","Percent","98.69608"
"Bahrain","2003","Male","Not applicable","Percent","98.65493"
"Bahrain","2001","All genders","Not applicable","Percent","98.13355"
"Bahrain","2001","Male","Not applicable","Percent","98.83963"
"Bahrain","2001","Female","Not applicable","Percent","97.4186"
"Bahrain","2000","All genders","Not applicable","Percent","92.33953"
"Bahrain","2000","Female","Not applicable","Percent","91.94929"
"Bahrain","2000","Male","Not applicable","Percent","92.73247"
"Bahrain","1999","All genders","Not applicable","Percent","90.34061"
"Bahrain","1999","Male","Not applicable","Percent","89.39254"
"Bahrain","1999","Female","Not applicable","Percent","91.2736"
"Bahrain","1998","All genders","Not applicable","Percent","92.46413"
"Bahrain","1998","Female","Not applicable","Percent","92.83769"
"Bahrain","1998","Male","Not applicable","Percent","92.11514"
"Bahrain","1996","All genders","Not applicable","Percent","81.63164"
"Bahrain","1996","Male","Not applicable","Percent","79.88522"
"Bahrain","1996","Female","Not applicable","Percent","83.46585"
"Bahrain","1995","All genders","Not applicable","Percent","80.2374"
"Bahrain","1995","Female","Not applicable","Percent","81.37697"
"Bahrain","1995","Male","Not applicable","Percent","79.12905"
"Bahrain","1994","All genders","Not applicable","Percent","77.67392"
"Bahrain","1994","Male","Not applicable","Percent","76.24075"
"Bahrain","1994","Female","Not applicable","Percent","79.19489"
"Bahrain","1993","All genders","Not applicable","Percent","80.10449"
"Bahrain","1993","Female","Not applicable","Percent","77.90083"
"Bahrain","1993","Male","Not applicable","Percent","82.26075"
"Bahrain","1992","All genders","Not applicable","Percent","80.57886"
"Bahrain","1992","Male","Not applicable","Percent","80.26849"
"Bahrain","1992","Female","Not applicable","Percent","80.91122"
"Bahrain","1991","All genders","Not applicable","Percent","80.24274"
"Bahrain","1991","Male","Not applicable","Percent","79.74123"
"Bahrain","1991","Female","Not applicable","Percent","80.76312"
"Bahrain","1989","All genders","Not applicable","Percent","83.8854"
"Bahrain","1989","Male","Not applicable","Percent","80.88693"
"Bahrain","1989","Female","Not applicable","Percent","87.12616"
"Bahrain","1988","All genders","Not applicable","Percent","78.32733"
"Bahrain","1988","Female","Not applicable","Percent","79.53009"
"Bahrain","1988","Male","Not applicable","Percent","77.19724"
"Bahrain","1987","All genders","Not applicable","Percent","73.85095"
"Bahrain","1987","Male","Not applicable","Percent","72.5544"
"Bahrain","1987","Female","Not applicable","Percent","75.21685"
"Bahrain","1986","All genders","Not applicable","Percent","69.98013"
"Bahrain","1986","Female","Not applicable","Percent","69.44707"
"Bahrain","1986","Male","Not applicable","Percent","70.48273"
"Bahrain","1985","All genders","Not applicable","Percent","72.89187"
"Bahrain","1985","Male","Not applicable","Percent","77.74832"
"Bahrain","1985","Female","Not applicable","Percent","68.06006"
"Bahrain","1984","All genders","Not applicable","Percent","68.92112"
"Bahrain","1983","All genders","Not applicable","Percent","72.83691"
"Bangladesh","2009","All genders","Not applicable","Percent","66.20096"
"Bangladesh","2009","Female","Not applicable","Percent","70.63724"
"Bangladesh","2009","Male","Not applicable","Percent","61.94934"
"Bangladesh","2008","All genders","Not applicable","Percent","66.60086"
"Bangladesh","2008","Male","Not applicable","Percent","67.13794"
"Bangladesh","2008","Female","Not applicable","Percent","66.07103"
"Bangladesh","1989","All genders","Not applicable","Percent","40.05895"
"Bangladesh","1981","Female","Not applicable","Percent","20.14821"
"Bangladesh","1981","All genders","Not applicable","Percent","22.4367"
"Bangladesh","1981","Male","Not applicable","Percent","24.08537"
"Bangladesh","1977","All genders","Not applicable","Percent","24.53411"
"Bangladesh","1976","Male","Not applicable","Percent","35.6369"
"Bangladesh","1976","All genders","Not applicable","Percent","33.87618"
"Bangladesh","1976","Female","Not applicable","Percent","30.71419"
"Barbados","2010","All genders","Not applicable","Percent","93.37466"
"Barbados","2008","All genders","Not applicable","Percent","89.95773"
"Barbados","2007","All genders","Not applicable","Percent","91.2585"
"Barbados","2005","All genders","Not applicable","Percent","91.06593"
"Barbados","2004","All genders","Not applicable","Percent","96.99812"
"Barbados","2003","Male","Not applicable","Percent","94.04894"
"Barbados","2003","All genders","Not applicable","Percent","95.83207"
"Barbados","2003","Female","Not applicable","Percent","97.70586"
"Barbados","2001","All genders","Not applicable","Percent","93.33171"
"Barbados","1999","Male","Not applicable","Percent","91.98299"
"Barbados","1999","All genders","Not applicable","Percent","91.20914"
"Barbados","1999","Female","Not applicable","Percent","90.42789"
"Belarus","2013","Male","Not applicable","Percent","98.46357"
"Belarus","2013","All genders","Not applicable","Percent","98.32384"
"Belarus","2013","Female","Not applicable","Percent","98.18113"
"Belarus","2012","Female","Not applicable","Percent","98.26328"
"Belarus","2012","All genders","Not applicable","Percent","98.66814"
"Belarus","2012","Male","Not applicable","Percent","99.05312"
"Belarus","2011","Male","Not applicable","Percent","98.80175"
"Belarus","2011","All genders","Not applicable","Percent","99.06334"
