CODE,N1,N2,N3,N4,N5,N6,E1,E2,E3,E4,E5,E6,O1,O2,O3,O4,O5,A1,A2,A3,A4,A5,A6,C1,C2,C3,C4,C5,C6,N,E,O,A,C
IDN,48.30,45.2,49.2,49.1,45.5,52.6,46.6,48.8,46.8,46.6,45,47.6,46.5,53.9,45.8,51.2,49.6,52.2,52.1,44.8,52.3,50.7,46.3,42,52.1,49.2,54.3,45.9,56.4,48.6,43.3,49.9,51.9,50.3
ITA,55.10,53.8,53.8,50.1,52.4,55.4,47.6,50.8,48.2,52.6,44.3,46.8,54.1,56.4,49.8,49.9,49.2,44.6,52.9,48.1,43.6,49.8,48.9,44.1,45,51.3,49.3,48.2,51.9,55.6,46.6,52.6,48.9,50.4
JPN,56.00,52.4,56.7,53.5,52.3,62.6,41.3,47.2,45.3,45.4,44.5,46,52.2,52.6,48.4,51.2,49.2,47.9,49.7,35.9,51.2,46.4,44.7,34.9,45.6,43.2,45.9,39.8,48,55.3,41.7,51.7,47.7,42.6
KOR1,53.10,50,54.6,56.7,45.9,57.3,41.3,48.5,46,45.6,40.3,43,48.4,52.9,46.5,47.3,48.7,51.2,52.1,43.2,50.4,46.7,53.3,42.1,47.6,52.8,47.9,44.9,52.5,53.6,40,51.4,52.3,48.8
MYS,52.30,46.4,53,57.6,46,51.5,45.1,45.9,46.9,45.1,38.6,47.8,42.2,49.3,43.8,52.1,49.9,51.1,54.6,46.5,57.4,53,64.6,44.9,56.3,53.2,55,44.5,56.9,54.2,42.5,46.6,58.5,54.2
NLD,48.50,45.5,50.9,47.9,48.6,48.2,43.9,49.3,46.9,47.6,40.1,49.3,51.4,54.1,50.5,54.2,51,51.5,51.9,45.5,51.5,54,57.9,45.6,48.7,52.5,49.6,50,51.2,48.6,43.9,55.7,54.6,48.6
NOR,47.30,46.5,49.6,47.7,54.7,47.7,47.5,56.6,50.7,53.1,50.7,54.4,52.9,50.7,50.1,53.2,49.6,51.5,50.1,48.6,48.5,49.7,52.8,47.8,48.2,49,48.8,45.8,48.6,47.4,53.6,51.5,49.9,45.7
PER,53.50,47.7,51.5,49.5,48.9,52.8,45,48.7,49.6,46.7,45.8,48.7,50.6,52.3,45.4,47,49.6,45.5,48.1,45.4,49.6,46,51.9,47.8,46.5,49.4,53.1,44.8,50.9,50.8,45.5,50,48.6,49
PHL,50.40,47.4,51.4,53.4,46.7,51.7,45.8,48.7,49.6,45.7,44.3,48,46,54.8,46.4,51.5,52.3,49.5,50.4,46.9,54.9,49.7,53.6,47.1,50.7,49,52.4,49.4,54.7,50.8,43.8,51.8,52.9,51.5
PRT,56.90,51,54.5,52.8,49.8,54.8,47.2,48.8,45.7,47.3,50,46,49.1,54,47.4,51.1,47.6,46.1,47.1,45.6,52.3,52.9,52.9,44.9,50.8,50.2,51.7,46.4,51.4,55.5,46.3,49.2,51.2,50.3
RUS,51.70,51.8,54.1,54,49.5,58.6,45.9,48.8,47.6,48,46.4,47.2,49.8,53.6,47.4,50.6,46.8,47,43.2,41.3,46.9,49.6,46,40.6,50.2,46,46.8,43.8,50.3,53.7,45.1,49,46.7,46.5
SRB,49.70,49.6,48.8,47.1,50.5,49.3,47.6,52.5,46.9,51.2,47.1,49,53.5,59.1,54.5,51.2,53.9,47.1,49.5,48.9,46.4,46,49.5,46.9,50.3,51.3,54.2,47.7,51,51.1,47.6,56,48.4,51.7
ZAF(B),49.00,49.3,53.3,52.4,44.5,50.3,44.7,48,46.6,43.6,42.8,46.3,45,50.7,42,48.2,49.9,44.9,48.4,41.9,54.8,49.9,50.2,44.2,48.9,45.7,48.1,47,53.5,49.1,41.4,47.7,50.4,47.9
ZAF(W),49.10,50.4,53.1,51.6,50.7,49.9,49.2,48.6,48.1,48.8,47,49.5,52.4,54.6,53.3,52.7,52.3,47.5,52.7,48.1,50.7,52.1,52.3,45.4,46.8,48.5,47.3,47.1,50.1,51.9,47.2,54.4,52.2,47.9
ESP,58.60,50.1,56.5,54,52,57.6,43.3,50.6,45.6,50.1,48.3,49.2,52.4,51.1,47.7,44.6,45.4,47,43.8,45.8,44.8,53.1,57.2,44.6,48.1,47.8,51.4,44.3,51.8,57.1,48.3,48,49.4,48.3
SWE,45.60,45.5,49.8,46.3,47.8,49.6,47.8,54.8,46.9,46.1,45,53.4,48.4,45.6,48.4,49.7,43.9,52.9,51.8,51.7,52.7,54.6,59.1,48.8,49.8,52.7,42.7,47,54.5,46.3,50.6,46,56.5,45.7
CHE(G),51.00,50.6,50.1,53.1,51.6,53.4,47.3,51.1,49.8,52.8,46.2,52.5,57,57.3,56.4,55.4,54.8,46,44.7,46.5,45.1,46.7,51.5,48.9,50.6,48.6,50.6,45.6,48.7,53.2,48.5,58.9,47,49.6
TWN,51.10,46.4,52.6,53.9,45.4,56,46.1,46.5,45.6,43.4,41.4,46.8,46.2,54.7,47.4,47.3,46.2,50.4,51.3,45.4,56.9,45.6,53.1,42.5,47.3,48.9,49.7,45.7,54.4,51.5,42,50.2,54.5,48.1
TUR,47.90,50.7,50.9,53.1,49,51.6,47.7,52.8,48.8,50.7,50.2,53.1,49.8,53,50.5,52,47.4,47.2,53.5,51.6,45.5,44.3,48,49.5,47.3,50.2,52,48.2,51.4,50.9,50.3,50.8,48.5,50.4
USA,50.00,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
ZWE,48.50,49.5,53.4,51.2,44,53.9,42.4,48.9,46.3,48.4,43.8,48.2,41.5,50.7,41,55.2,48.1,44.6,52,40.1,54.5,48.7,56.2,40.9,53.1,49.3,55.3,48.1,55.2,50.9,42.3,47,51,51.8
DZA,54.30,53.9,56.2,54,46.7,54.2,44.5,46.2,46,49.8,47,45.3,45.7,51.3,45.6,48.5,50.3,44.6,52,40.1,54.5,48.7,56.2,40.9,53.1,49.3,55.3,48.1,55.2,54.2,45,45.4,50.7,49.9
AUS,43.20,42,43.9,43.4,47.4,39.3,55.8,54.8,58.2,53.7,52.3,57.3,48.9,49.2,51.1,58.1,54.8,40.6,53.3,50.7,50.6,51.5,56,43.1,51,49.9,52.7,46.8,53.9,41,57.9,53.9,54,57
ESP(B),54.00,49.9,51.2,52.6,45.1,55.7,44.9,53.5,46,52.4,46.9,50.9,50.9,48.1,47.2,47.8,45.6,54.5,51.7,56.6,51.8,50.4,51.3,57.2,52.7,55.7,56.9,55.7,54,51.9,48.8,47.3,52.5,47.4
BEN,52.50,52.6,55.7,57.2,44.9,51.1,45.9,52.3,45.7,44,49.6,48,43.3,54.9,45,54.1,52.2,47.7,55.1,46.2,51.5,50.2,59.7,43.9,49.1,49.1,48.4,46.1,51.3,53.1,47,47.8,49.5,52
BGR,45.30,42.2,44.2,48.2,38.3,42.3,51.4,54.5,50.8,53.1,43.5,47.8,40.9,54.3,45.3,48.4,49.4,39.8,49.6,46.2,55.3,49.4,59.5,46.2,53.4,49.4,54.5,47.5,57,41.4,50.4,46.6,53.6,59.5
BFA,58.40,56.2,59,59.8,48.2,58.3,45.3,50.5,45.6,44.3,48.7,43.8,47,53.9,43.3,52.2,51.7,53.2,53.9,53.8,51.9,53.2,47.3,52.4,56.1,59.3,58.9,57.7,57.9,59.2,44.9,47.8,48.1,47.2
BFA2,57.60,55,58.3,59.3,47.4,57.2,45.8,50.5,45.5,44.3,48.4,44.1,46.5,53.2,43.2,51.8,52.1,39.4,46.5,45.5,51.9,51.3,59.6,39.9,49.1,46.6,53.5,43.9,52.9,58.1,45,47.6,49.4,48.1
COG,50.90,52.6,55.5,54.2,43.8,50.7,46.3,49,51.5,45.8,46.2,46.3,44.1,51.2,41.9,52.1,51,40.4,47.6,46,52.9,52,60.1,40.7,49.9,47.7,53.8,44.7,53.6,51.9,46.7,45.6,51.2,52.9
COD,49.70,52.6,53.4,53.6,43.6,49.9,43.8,50.2,50.9,46.4,44.1,43.9,43.7,49.4,39,49.4,49.8,42,51.9,47.7,54.8,50.4,58.1,47,53.9,50.1,55.7,47.8,58.3,50.9,45.3,42.9,47.4,52.9
CZE3,50.20,48.9,50,47.8,51.2,51,51.6,48.1,51.1,48.9,42.2,51.3,51.5,50.6,50.6,55.1,50.7,41.4,51.1,46,47.5,50.5,49.5,39.3,47.5,48.1,50,44.5,48.8,49.8,48.3,52.2,47.1,49.1
CZE2,51.30,51.1,52.7,49.5,51.8,54.6,49.9,49.3,49.4,48.2,42.9,52.5,51.9,51.9,50,53.8,49.1,41.5,50,46.2,54.4,46.3,50.8,50,53.5,48.5,54.5,48.2,59.4,49.8,48.1,51.4,46.5,45.3
ERI,47.10,46.6,53,53.8,40.1,53.2,41.1,44.7,41.8,40.9,46.9,47.4,38.9,51.1,40.9,46.5,48.5,44.2,50,41.6,55.9,54.2,53.7,39.7,54.8,50.9,53.3,44.6,56.4,48.8,40.9,40.5,50.1,50.2
EST3,51.00,51.6,48.1,51.1,48.9,42.2,51.3,51.5,50.6,50.6,55.1,50.7,51,42.3,52.3,50.2,46.9,54.8,44.7,53.3,51.5,48.9,49,51.7,53.3,51.5,48.9,49,51.7,50.2,48.9,50,47.8,51.2
EST2,47.70,47.3,48.6,48.8,49.3,46.1,49.3,50.9,52.3,50.7,48,48.2,46.5,49.2,48.4,44.8,46.1,42.3,52.3,50.2,46.9,48.8,48.3,43.7,50.9,51,50.1,48.2,51.4,50.1,47.8,50.7,49.4,49.7
FIN,48.40,45.8,48.5,49.9,50.4,46.8,47.1,49.6,49.6,52.1,46.6,50,52,50.4,45.7,54.3,48.4,54.8,50.2,44.4,52.6,47.2,48.5,51.7,52.7,48.7,49.6,49.8,47.4,47.7,48.8,50.1,49.7,50
GRC,53.30,50.2,50.7,50.2,46.4,52.8,45.4,50.9,48.9,51.3,42.6,46.5,45.4,50,45.5,47.7,45.6,48.3,43.7,50.9,51,50.1,48.2,51.4,55.6,53,48.1,48.9,53.5,50.9,46.6,45.1,48.8,51.5
ISL,47.60,50.5,50.4,50.8,50.9,50.7,47.9,51.9,45.8,51,42.4,50.9,47.9,50,47.8,46.5,46.7,43.7,51.5,47.6,50.8,48.8,53.3,45.2,53.1,51.6,52.9,50.1,53,50.2,47.6,46.5,55.5,48.9
IND(E),53.00,52.9,55.8,48.7,47.7,55.7,45.2,48.1,47.4,48.2,47.3,48.5,45.1,55,46.9,49.4,48.7,52.1,53.7,50.8,57.9,54.3,52.2,44,47.8,55.2,49.9,48.1,50.3,53.3,46.3,47.9,46.6,47.7
ITA(R),55.10,53.8,53.8,50.1,52.5,55.4,47.6,50.8,48.2,52.6,44.3,46.9,54.1,56.4,49.8,49.9,49.2,44.6,52.9,48,43.6,49.8,48.8,44.1,44.9,51.3,49.3,48.2,51.9,55.5,46.6,52.6,48.9,50.4
ITA2,55.80,51.5,54.1,50.2,51,56.1,46,51.3,47.6,50.7,46.1,46.5,55.3,54.8,49.2,50.7,49.9,42.6,47.9,46.6,43.7,48.8,53.5,42.8,46,48.9,48.9,47.9,50.7,55,46.9,52.1,48.1,48.7
LVA,54.30,51.4,53.5,52.7,50.5,56,44.4,49.5,48.5,48.9,43.8,45.9,50.5,51.1,48.7,47,46,44.4,49.8,43.6,49.1,46.1,54.4,43.2,49.3,46.4,50.6,48.6,51.8,54.1,45.6,47.3,42.9,46.5
LTU,51.20,51.1,53.3,52.1,47,54.9,44.9,50.3,47.3,50.2,47.6,49.3,50.2,52.7,46.3,46.7,45.5,46.1,45,41.5,47.1,45.1,47.2,43.3,51.1,46.6,49.5,45.2,47.9,52.2,47.5,47.2,46.5,46.2
MLI,53.60,53.2,53.9,55.4,46.2,53.7,46.9,54,48.7,47.9,48.4,46.1,43,51.6,43,50.2,52.1,48.1,47.9,42.7,47.9,48.3,51,41.3,48.9,49.1,47.6,44.9,50.1,53.7,48.3,44.6,46.6,51.5
MUS,53.90,52.7,54.9,51.8,48.3,53.7,46.2,46.6,48,50.8,48,47.4,47.2,50.7,47.3,48.3,50.5,43,46.5,44.7,49.7,48.1,56.4,46.9,49.7,49.5,55,48.5,56.6,53.7,46.8,46.9,49.9,49.2
MEX,50.60,49.3,49.2,48,48.1,52,44.9,51.9,51.5,48.3,54.3,53.1,51.4,53.6,47.5,46.4,52.7,41.5,52.4,45.9,52.1,51.3,57.1,45.2,50.7,49.4,51.9,47.1,52.6,49.4,51.2,50.2,42.4,50.3
RUS(N),53.40,54.6,54.7,58.6,48.8,59.1,42.7,46.9,44.8,49.5,49.4,43.8,48.9,53.5,41.9,48.1,46.5,44.5,43.7,45.9,46,43,48.8,48.2,47.1,51.9,54,47.3,53,56.5,42.3,45,40.6,45.6
NZL,46.90,39.5,45.5,47.2,45.1,43.3,54.4,52.4,51.6,52.6,47.7,55.8,43.6,46.8,50.9,55.8,47.7,42,39.3,38.3,41.6,49,47.2,40.5,52.4,42.8,47.4,45.3,49.2,42.9,53.6,48.9,60.2,55.3
NOR2,48.80,44.7,50.2,46.9,52.9,47.9,48.3,54,51.4,56.3,45.9,52.3,51,53.4,50.6,55.9,48.9,54.2,53.9,49.2,51.7,50.2,50.4,49,48.8,49,49.8,48.8,47.7,48.1,52,53.3,52.6,48.5
PHL2,55.50,50.5,54.3,56.4,48.7,54.6,45.2,52.5,50.1,46.7,51.3,49,49.7,53.7,51.9,54.5,51.7,44.6,45.5,44.8,52,47.8,55.9,46.9,50.4,49.1,55.6,47.9,55.2,54.6,49,49.3,47.2,51.2
POL,53.60,50.1,55.3,54.9,46.7,56.1,45.4,48.7,45,51.7,41.7,45,46.1,49.8,44.3,48.4,46.5,55.3,58.4,56.7,58.5,55.5,54.5,52.9,52.3,56.2,54.1,55.7,54,53.9,44.5,44.7,47.4,48
ROU,49.50,49.9,50.3,50.7,44.6,49.3,46.4,50,49.7,50.3,44.2,45.4,46.5,50.6,45.8,48.3,49.2,46.9,49.1,43.3,49.6,52.3,47.5,42.9,51.5,49.6,50.8,47.2,48,48.9,46.7,46.7,46.2,50.8
ITA(S),54.10,50.7,52.9,50.8,47.6,55.1,47.5,53.1,47,50.2,46.1,46,49.5,50.8,44.9,52,45,45.9,49.4,44.2,49.2,46.8,49.6,46,51.7,50.3,52.1,50.4,52.2,53.2,47.5,46.5,49.7,49.8
SEN,53.60,50.9,54.2,53.5,44.5,49.3,47.7,48.3,47.7,48.8,44.4,46.6,45.9,52.1,43.3,49.1,54.4,44.8,48.7,46.9,45,51.6,53.4,42.7,48.6,50,50.2,49.2,53.5,51.6,46.2,47.6,54.8,55
ESP2,54.20,46.8,51.7,50.2,48.5,51.4,46,47.9,48.4,49.6,38.4,49.6,48.6,50.9,46.1,47.2,46.6,49.8,48.8,46.6,50.6,54,56.8,46.9,49.6,52.5,52,48.8,53.3,50.7,45.1,47.3,51.7,50.7
SWE2,44.70,45,49.4,45.6,45.5,48.6,46.6,51.4,46.8,47.4,39.9,50.9,45.9,45.4,47.4,48.8,43.8,53.2,53.8,51.4,54.1,57,59.2,49.6,51.3,56,44.2,50.3,55,45.4,45.9,45,57.3,51.3
SWE3,44.80,44.5,50,43.6,43.9,47.7,48.1,50.9,49.5,46.3,40.2,54.5,48.5,44.6,50.6,51.2,48.1,52.4,54.4,55.4,52.5,54.6,56.7,53.5,53.1,57.4,47.4,51.5,55.2,53.7,52.2,50.7,52.2,50
CHE(F),55.00,50.8,53.4,51.9,51.9,52.3,48.4,47.4,46.7,50.9,43.8,50.6,54.7,53,51.4,53,50.5,46.2,51.3,48,52,53.2,55.6,42.4,47.6,49.8,49.1,46.5,47.8,53.5,47,53.6,51.7,46.4
CHE(F2),54.60,50.5,53.5,52,51.8,52.4,49.2,48.4,47,51.4,44.3,51.5,54.4,52.9,51.6,52.7,50.7,46.2,51.4,48.2,51.8,53.5,55.9,42.3,47.6,49.8,49.1,46.4,47.8,53.4,47.9,53.4,52.3,46.4
TUN,51.70,52.5,54.1,54,47.7,53.8,45.4,48.3,47.5,48.9,48.8,47.8,46.6,52.3,45.3,48.2,48.8,46.6,52.1,49.3,52,53.4,56,43,47.6,49.7,49.3,46.3,47.5,53.1,46.8,45.5,48,48.3
GBR,44.30,40.7,43,41.7,43.6,38.7,53.1,53.9,58.9,59,45.9,54.4,48.3,52.7,52.4,62.7,55,39.5,52.4,49.8,48.2,47.8,56.2,42.8,49.7,48.9,53.7,45.2,51.1,39.4,56.1,56.8,54,57.6
USA(B),48.30,48.7,48,48.5,48.9,48.4,50.4,50.6,52.8,51.2,48.1,49.9,51.2,53.5,50.6,50.9,51.8,56.6,50.5,53.3,55.1,50.1,50,57,50.8,56.8,58.9,57.3,53.9,47.8,49.2,53.3,50.3,50
